file_name,functionVerified,function_name,function_line,error
 pageant.c, request_passphrase, request_passphrase , 657 ,dereference failure: invalid pointer
 pageant.c, signop_free, signop_free , 651 ,dereference failure: invalid pointer
 pageant.c, unblock_requests_for_key, unblock_requests_for_key , 764 ,dereference failure: invalid pointer
 timing.c, compare_timer_contexts, compare_timer_contexts , 93 ,Same object violation
 timing.c, compare_timers, compare_timers , 51 ,dereference failure: invalid pointer
 timing.c, run_timers, run_timers , 202 ,dereference failure: invalid pointer
 timing.c, schedule_timer, schedule_timer , 128 ,dereference failure: invalid pointer
 callback.c, queue_idempotent_callback, queue_idempotent_callback , 38 ,dereference failure: invalid pointer
 callback.c, run_idempotent_callback, run_idempotent_callback , 32 ,dereference failure: invalid pointer
 sshpubk.c, expect_signature, expect_signature , 283 ,dereference failure: invalid pointer
 sshpubk.c, key_type_s, key_type_s_internal , 280 ,dereference failure: invalid pointer
 sshpubk.c, lf_free, lf_free , 59 ,dereference failure: invalid pointer
 sshpubk.c, ppk_encrypted_f, read_header , 482 ,dereference failure: invalid pointer
 sshpubk.c, ppk_loadpub_f, BinarySource_INIT__ , 253 ,dereference failure: invalid pointer
 sshpubk.c, ppk_save_sb, ppk_save_sb , 1467 ,dereference failure: invalid pointer
 sshpubk.c, read_body, read_body , 508 ,dereference failure: invalid pointer
 sshpubk.c, read_header, read_header , 493 ,dereference failure: invalid pointer
 sshpubk.c, rsa1_load_f, rsa1_load_s_internal , 206 ,dereference failure: invalid pointer
 sshpubk.c, rsa1_load_s, rsa1_load_s_internal , 159 ,dereference failure: invalid pointer
 sshpubk.c, rsa1_save_f, rsa1_save_sb , 405 ,dereference failure: invalid pointer
 sshpubk.c, ssh1_pubkey_str, ssh1_pubkey_str , 1601 ,dereference failure: invalid pointer
 sshpubk.c, str_to_uint32_t, str_to_uint32_t , 704 ,dereference failure: invalid pointer
 sshpubk.c, userkey_parse_line_counter, userkey_parse_line_counter , 693 ,dereference failure: invalid pointer
 settings.c, backend_vt_from_proto, backend_vt_from_proto , 108 ,dereference failure: invalid pointer
 settings.c, get_remote_username, get_remote_username , 116 ,dereference failure: invalid pointer
 settings.c, get_sesslist, get_sesslist , 1352 ,dereference failure: invalid pointer
 settings.c, gppmap, gppmap , 251 ,dereference failure: NULL pointer
 settings.c, gprefs, gprefs_from_str , 372 ,dereference failure: invalid pointer
 settings.c, key2val, key2val , 338 ,dereference failure: invalid pointer
 settings.c, val2key, val2key , 347 ,dereference failure: invalid pointer
 cmdgen.c, main, main , 289 ,dereference failure: array bounds violated
 psocks.c, pds_stdio, pds_stdio , 561 ,dereference failure: invalid pointer
 psocks.c, psocks_cmdline, psocks_cmdline , 495 ,dereference failure: invalid pointer
 psocks.c, psocks_conn_log_data, psocks_conn_log_data , 127 ,dereference failure: invalid pointer
 psocks.c, psocks_free, psocks_free , 417 ,dereference failure: invalid pointer
 psocks.c, psocks_new, psocks_new , 400 ,dereference failure: invalid pointer
 psocks.c, psocks_plug_sent, psocks_plug_sent , 392 ,dereference failure: invalid pointer
 psocks.c, psocks_sc_initiate_close, psocks_sc_initiate_close , 312 ,dereference failure: invalid pointer
 psocks.c, psocks_sc_unthrottle, sk_set_frozen , 292 ,dereference failure: invalid pointer
 psocks.c, psocks_sc_write, psocks_sc_write , 281 ,dereference failure: invalid pointer
 psocks.c, psocks_start, psocks_start , 509 ,dereference failure: invalid pointer
 psocks.c, stdio_free, stdio_free , 551 ,dereference failure: invalid pointer
 dialog.c, ctrl_alloc, ctrl_alloc_with_free , 192 ,dereference failure: invalid pointer
 dialog.c, ctrl_find_path, ctrl_path_compare , 31 ,dereference failure: invalid pointer
 dialog.c, ctrl_find_set, ctrl_find_set , 94 ,dereference failure: invalid pointer
 dialog.c, ctrl_new, ctrl_new , 217 ,dereference failure: invalid pointer
 dialog.c, ctrl_new_box, ctrl_new_box , 46 ,dereference failure: invalid pointer
 dialog.c, ctrl_path_elements, ctrl_path_elements , 19 ,dereference failure: invalid pointer
 sshrand.c, random_get_savedata, random_get_savedata , 14 ,dereference failure: NULL pointer
 psftpcommon.c, list_directory_from_sftp_feed, list_directory_from_sftp_feed , 53 ,dereference failure: invalid pointer
 psftpcommon.c, list_directory_from_sftp_free, list_directory_from_sftp_free , 44 ,dereference failure: invalid pointer
 cgtest.c, get_random_data_diagnostic, __memset_impl , 273 ,dereference failure: invalid pointer
 pscp.c, colon, colon , 545 ,dereference failure: invalid pointer
 pscp.c, is_dots, strspn , 163 ,dereference failure: invalid pointer
 pscp.c, list_directory_from_sftp_print, list_directory_from_sftp_print , 261 ,dereference failure: invalid pointer
 pscp.c, print_stats, print_stats , 533 ,dereference failure: invalid pointer freed
 config.c, charclass_handler, charclass_handler , 961 ,dereference failure: invalid pointer
 config.c, colour_handler, colour_handler , 1010 ,dereference failure: invalid pointer
 config.c, conf_editbox_handler, conf_editbox_handler , 123 ,dereference failure: invalid pointer
 config.c, conf_filesel_handler, conf_filesel_handler , 155 ,dereference failure: invalid pointer
 config.c, conf_fontsel_handler, conf_fontsel_handler , 171 ,dereference failure: invalid pointer
 config.c, config_protocols_handler, config_protocols_handler , 350 ,dereference failure: invalid pointer
 config.c, environ_handler, environ_handler , 1204 ,dereference failure: invalid pointer
 config.c, load_selected_session, load_selected_session , 797 ,dereference failure: invalid pointer
 config.c, loggingbuttons_handler, loggingbuttons_handler , 433 ,dereference failure: invalid pointer
 config.c, manual_hostkey_handler, manual_hostkey_handler , 1444 ,dereference failure: invalid pointer
 config.c, portfwd_handler, portfwd_handler , 1280 ,dereference failure: invalid pointer
